Name,Price,Categories,Neighborhood,City,Rating
Captain’s Market,None,,,Trappe,8.673449131513648
Klein's Fish Market,$$,Seafood,,Belmar,8.665260545905706
Woodman's of Essex,$$,Seafood,Essex,Essex,8.661166253101737
Union Oyster House,$$,"American, New England, Seafood",Downtown,Boston,8.661166253101737
"Mike's Seafood - Sea Isle City, NJ",$$,Seafood,Townsends Inlet,Sea Isle City,8.652977667493797
No.9 Park,$$$$,"French, Italian",Beacon Hill,Boston,8.648883374689827
George & Wendy's Seafood Grille,None,Seafood,,Sanibel,8.648883374689827
Butcher and Singer,$$$$,Steakhouse,Rittenhouse Square,Philadelphia,8.648883374689827
Chickadee,$$$,"American, Italian, Mediterranean",D Street / West Broadway,Boston,8.648883374689827
Galyn's,$$$,"American, Seafood",Bar Harbor,Bar Harbor,8.632506203473945
Island Creek Oyster Bar,$$$,"American, New England, Seafood",Fenway–Kenmore,Boston,8.632506203473945
